Gene	Gene_ID	index
CTAGE4	ENSG00000225932	3068
CTAGE6	ENSG00000271321	3069
CTAGE15	ENSG00000176227	3070
CTBP1	ENSG00000159692	3071
CTBP2	ENSG00000175029	3072
CTBS	ENSG00000117151	3073
CTC1	ENSG00000178971	3074
CTCFL	ENSG00000124092	3075
CTDNEP1	ENSG00000175826	3076
CTDP1	ENSG00000060069	3077
CTDSP1	ENSG00000144579	3078
CTDSP2	ENSG00000175215	3079
CTDSPL	ENSG00000144677	3080
CTDSPL2	ENSG00000137770	3081
CTF1	ENSG00000150281	3082
CTGF	ENSG00000118523	3083
CTIF	ENSG00000134030	3084
CTLA4	ENSG00000163599	3085
CTNNA1	ENSG00000044115	3086
CTNNA2	ENSG00000066032	3087
CTNNA3	ENSG00000183230	3088
CTNNAL1	ENSG00000119326	3089
CTNNB1	ENSG00000168036	3090
CTNNBIP1	ENSG00000178585	3091
CTNNBL1	ENSG00000132792	3092
CTNND1	ENSG00000198561	3093
CTNND2	ENSG00000169862	3094
CTNS	ENSG00000040531	3095
CTPS1	ENSG00000171793	3096
CTR9	ENSG00000198730	3097
CTRB1	ENSG00000168925	3098
CTRC	ENSG00000162438	3099
CTSA	ENSG00000064601	3100
CTSC	ENSG00000109861	3101
CTSD	ENSG00000117984	3102
CTSF	ENSG00000174080	3103
CTSG	ENSG00000100448	3104
CTSH	ENSG00000103811	3105
CTSK	ENSG00000143387	3106
CTSL	ENSG00000135047	3107
CTSO	ENSG00000256043	3108
CTSV	ENSG00000136943	3109
CTSZ	ENSG00000101160	3110
CTTN	ENSG00000085733	3111
CTTNBP2	ENSG00000077063	3112
CTTNBP2NL	ENSG00000143079	3113
CTU1	ENSG00000142544	3114
CTU2	ENSG00000174177	3115
CTXN1	ENSG00000178531	3116
CUBN	ENSG00000107611	3117
CUEDC2	ENSG00000107874	3118
CUL5	ENSG00000166266	3119
CUL7	ENSG00000044090	3120
CUL9	ENSG00000112659	3121
CUTA	ENSG00000112514	3122
CUTC	ENSG00000119929	3123
CUX1	ENSG00000257923	3124
CUX2	ENSG00000111249	3125
CUZD1	ENSG00000138161	3126
CWC15	ENSG00000150316	3127
CWC22	ENSG00000163510	3128
CWC25	ENSG00000108296	3129
CWC27	ENSG00000153015	3130
CWF19L1	ENSG00000095485	3131
CWF19L2	ENSG00000152404	3132
CWH43	ENSG00000109182	3133
CX3CL1	ENSG00000006210	3134
CX3CR1	ENSG00000168329	3135
CXADR	ENSG00000154639	3136
CXCL1	ENSG00000163739	3137
CXCL2	ENSG00000081041	3138
CXCL3	ENSG00000163734	3139
CXCL5	ENSG00000163735	3140
CXCL6	ENSG00000124875	3141
CXCL9	ENSG00000138755	3142
CXCL10	ENSG00000169245	3143
CXCL11	ENSG00000169248	3144
CXCL12	ENSG00000107562	3145
CXCL13	ENSG00000156234	3146
CXCL14	ENSG00000145824	3147
CXCL16	ENSG00000161921	3148
CXCL17	ENSG00000189377	3149
CXCR1	ENSG00000163464	3150
CXCR2	ENSG00000180871	3151
CXCR3	ENSG00000186810	3152
CXCR4	ENSG00000121966	3153
CXCR5	ENSG00000160683	3154
CXCR6	ENSG00000172215	3155
CXorf21	ENSG00000120280	3156
CXorf36	ENSG00000147113	3157
CXorf38	ENSG00000185753	3158
CXorf40A	ENSG00000197620	3159
CXorf51A	ENSG00000224440	3160
CXorf56	ENSG00000018610	3161
CXorf57	ENSG00000147231	3162
CXorf58	ENSG00000165182	3163
CXorf66	ENSG00000203933	3164
CXXC1	ENSG00000154832	3165
CXXC4	ENSG00000168772	3166
CXXC5	ENSG00000171604	3167
CYB5A	ENSG00000166347	3168
CYB5B	ENSG00000103018	3169
CYB5D1	ENSG00000182224	3170
CYB5D2	ENSG00000167740	3171
CYB5R1	ENSG00000159348	3172
CYB5R3	ENSG00000100243	3173
CYB5R4	ENSG00000065615	3174
CYB5RL	ENSG00000215883	3175
CYB561	ENSG00000008283	3176
CYB561A3	ENSG00000162144	3177
CYB561D1	ENSG00000174151	3178
CYB561D2	ENSG00000114395	3179
CYBA	ENSG00000051523	3180
CYBB	ENSG00000165168	3181
CYBRD1	ENSG00000071967	3182
CYC1	ENSG00000179091	3183
CYCS	ENSG00000172115	3184
CYFIP1	ENSG00000068793	3185
CYFIP2	ENSG00000055163	3186
CYGB	ENSG00000161544	3187
CYHR1	ENSG00000187954	3188
CYLD	ENSG00000083799	3189
CYP1A1	ENSG00000140465	3190
CYP1A2	ENSG00000140505	3191
CYP1B1	ENSG00000138061	3192
CYP2A6	ENSG00000255974	3193
CYP2A7	ENSG00000198077	3194
CYP2A13	ENSG00000197838	3195
CYP2B6	ENSG00000197408	3196
CYP2C8	ENSG00000138115	3197
CYP2C9	ENSG00000138109	3198
CYP2C18	ENSG00000108242	3199
CYP2C19	ENSG00000165841	3200
CYP2D6	ENSG00000100197	3201
CYP2E1	ENSG00000130649	3202
CYP2F1	ENSG00000197446	3203
CYP2U1	ENSG00000155016	3204
CYP2W1	ENSG00000073067	3205
CYP3A4	ENSG00000160868	3206
CYP3A5	ENSG00000106258	3207
CYP3A7	ENSG00000160870	3208
CYP4A11	ENSG00000187048	3209
CYP4F3	ENSG00000186529	3210
CYP4F22	ENSG00000171954	3211
CYP4V2	ENSG00000145476	3212
CYP4X1	ENSG00000186377	3213
CYP4Z1	ENSG00000186160	3214
CYP7A1	ENSG00000167910	3215
CYP7B1	ENSG00000172817	3216
CYP8B1	ENSG00000180432	3217
CYP11A1	ENSG00000140459	3218
CYP11B1	ENSG00000160882	3219
CYP11B2	ENSG00000179142	3220
CYP17A1	ENSG00000148795	3221
CYP19A1	ENSG00000137869	3222
CYP20A1	ENSG00000119004	3223
CYP21A2	ENSG00000231852	3224
CYP24A1	ENSG00000019186	3225
CYP26A1	ENSG00000095596	3226
CYP26B1	ENSG00000003137	3227
CYP27A1	ENSG00000135929	3228
CYP27B1	ENSG00000111012	3229
CYP27C1	ENSG00000186684	3230
CYP46A1	ENSG00000036530	3231
CYP51A1	ENSG00000001630	3232
CYR61	ENSG00000142871	3233
CYSLTR1	ENSG00000173198	3234
CYSLTR2	ENSG00000152207	3235
CYSTM1	ENSG00000120306	3236
CYTH1	ENSG00000108669	3237
CYTH2	ENSG00000105443	3238
CYTH3	ENSG00000008256	3239
CYTH4	ENSG00000100055	3240
CYTIP	ENSG00000115165	3241
CYTL1	ENSG00000170891	3242
CYYR1	ENSG00000166265	3243
D2HGDH	ENSG00000180902	3244
DAAM1	ENSG00000100592	3245
DAAM2	ENSG00000146122	3246
DAB2	ENSG00000153071	3247
DAB2IP	ENSG00000136848	3248
DACH1	ENSG00000165659	3249
DACT1	ENSG00000165617	3250
DACT2	ENSG00000164488	3251
DACT3	ENSG00000197380	3252
DAD1	ENSG00000129562	3253
DAG1	ENSG00000173402	3254
DAGLA	ENSG00000134780	3255
DAGLB	ENSG00000164535	3256
DALRD3	ENSG00000178149	3257
DAND5	ENSG00000179284	3258
DAO	ENSG00000110887	3259
DAOA	ENSG00000182346	3260
DAP3	ENSG00000132676	3261
DAPK1	ENSG00000196730	3262
DAPK2	ENSG00000035664	3263
DAPK3	ENSG00000167657	3264
DAPP1	ENSG00000070190	3265
DARS2	ENSG00000117593	3266
DAW1	ENSG00000123977	3267
DAXX	ENSG00000204209	3268
DAZ1	ENSG00000188120	3269
DAZ2	ENSG00000205944	3270
DAZAP1	ENSG00000071626	3271
DAZAP2	ENSG00000183283	3272
DAZL	ENSG00000092345	3273
DBF4	ENSG00000006634	3274
DBF4B	ENSG00000161692	3275
DBH	ENSG00000123454	3276
DBI	ENSG00000155368	3277
DBN1	ENSG00000113758	3278
DBNDD1	ENSG00000003249	3279
DBNDD2	ENSG00000244274	3280
DBNL	ENSG00000136279	3281
DBP	ENSG00000105516	3282
DBX2	ENSG00000185610	3283
DCAF4	ENSG00000119599	3284
DCAF4L1	ENSG00000182308	3285
DCAF4L2	ENSG00000176566	3286
DCAF5	ENSG00000139990	3287
DCAF6	ENSG00000143164	3288
DCAF7	ENSG00000136485	3289
DCAF8	ENSG00000132716	3290
DCAF8L1	ENSG00000226372	3291
DCAF8L2	ENSG00000189186	3292
DCAF10	ENSG00000122741	3293
DCAF11	ENSG00000100897	3294
DCAF12	ENSG00000198876	3295
DCAF12L1	ENSG00000198889	3296
DCAF12L2	ENSG00000198354	3297
DCAF13	ENSG00000164934	3298
DCAF15	ENSG00000132017	3299
DCAF16	ENSG00000163257	3300
DCAF17	ENSG00000115827	3301
DCAKD	ENSG00000172992	3302
DCBLD1	ENSG00000164465	3303
DCBLD2	ENSG00000057019	3304
DCC	ENSG00000187323	3305
DCD	ENSG00000161634	3306
DCDC2	ENSG00000146038	3307
DCHS1	ENSG00000166341	3308
DCHS2	ENSG00000197410	3309
DCLK1	ENSG00000133083	3310
DCLK2	ENSG00000170390	3311
DCLK3	ENSG00000163673	3312
DCLRE1A	ENSG00000198924	3313
DCLRE1B	ENSG00000118655	3314
DCLRE1C	ENSG00000152457	3315
DCN	ENSG00000011465	3316
DCP1A	ENSG00000162290	3317
DCP1B	ENSG00000151065	3318
DCP2	ENSG00000172795	3319
DCPS	ENSG00000110063	3320
DCST1	ENSG00000163357	3321
DCST2	ENSG00000163354	3322
DCSTAMP	ENSG00000164935	3323
DCT	ENSG00000080166	3324
DCTN2	ENSG00000175203	3325
DCTN3	ENSG00000137100	3326
DCTN5	ENSG00000166847	3327
DCTN6	ENSG00000104671	3328
DCTPP1	ENSG00000179958	3329
DCUN1D1	ENSG00000043093	3330
DCUN1D2	ENSG00000150401	3331
DCUN1D3	ENSG00000188215	3332
DCUN1D4	ENSG00000109184	3333
DCUN1D5	ENSG00000137692	3334
DCX	ENSG00000077279	3335
DCXR	ENSG00000169738	3336
DDA1	ENSG00000130311	3337
DDAH1	ENSG00000153904	3338
DDAH2	ENSG00000213722	3339
DDB2	ENSG00000134574	3340
DDC	ENSG00000132437	3341
DDHD1	ENSG00000100523	3342
DDHD2	ENSG00000085788	3343
DDI1	ENSG00000170967	3344
DDI2	ENSG00000197312	3345
DDIT3	ENSG00000175197	3346
DDIT4	ENSG00000168209	3347
DDIT4L	ENSG00000145358	3348
DDN	ENSG00000181418	3349
DDOST	ENSG00000244038	3350
DDR1	ENSG00000204580	3351
DDR2	ENSG00000162733	3352
DDRGK1	ENSG00000198171	3353
DDT	ENSG00000099977	3354
DDX1	ENSG00000079785	3355
DDX3X	ENSG00000215301	3356
DDX3Y	ENSG00000067048	3357
DDX4	ENSG00000152670	3358
DDX5	ENSG00000108654	3359
DDX6	ENSG00000110367	3360
DDX10	ENSG00000178105	3361
DDX11	ENSG00000013573	3362
DDX17	ENSG00000100201	3363
DDX18	ENSG00000088205	3364
DDX19A	ENSG00000168872	3365
DDX19B	ENSG00000157349	3366
DDX20	ENSG00000064703	3367
DDX21	ENSG00000165732	3368
DDX23	ENSG00000174243	3369
DDX25	ENSG00000109832	3370
DDX27	ENSG00000124228	3371
DDX28	ENSG00000182810	3372
DDX31	ENSG00000125485	3373
DDX39A	ENSG00000123136	3374
DDX39B	ENSG00000198563	3375
DDX41	ENSG00000183258	3376
DDX42	ENSG00000198231	3377
DDX43	ENSG00000080007	3378
DDX46	ENSG00000145833	3379
DDX47	ENSG00000213782	3380
DDX49	ENSG00000105671	3381
DDX50	ENSG00000107625	3382
DDX52	ENSG00000141141	3383
DDX53	ENSG00000184735	3384
DDX54	ENSG00000123064	3385
DDX55	ENSG00000111364	3386
DDX56	ENSG00000136271	3387
DDX58	ENSG00000107201	3388
DDX59	ENSG00000118197	3389
DDX60	ENSG00000137628	3390
DDX60L	ENSG00000181381	3391
DEAF1	ENSG00000177030	3392
DEC1	ENSG00000173077	3393
DECR1	ENSG00000104325	3394
DECR2	ENSG00000242612	3395
DEDD	ENSG00000158796	3396
DEDD2	ENSG00000160570	3397
DEF6	ENSG00000023892	3398
DEF8	ENSG00000140995	3399
DEFA1	ENSG00000206047	3400
DEFA3	ENSG00000239839	3401
DEFA4	ENSG00000164821	3402
DEFA5	ENSG00000164816	3403
DEFA6	ENSG00000164822	3404
DEFB1	ENSG00000164825	3405
DEFB4A	ENSG00000171711	3406
DEFB4B	ENSG00000177257	3407
DEFB103A	ENSG00000176797	3408
DEFB104A	ENSG00000176782	3409
DEFB105A	ENSG00000186562	3410
DEFB106A	ENSG00000186579	3411
DEFB107A	ENSG00000186572	3412
DEFB107B	ENSG00000198129	3413
DEFB110	ENSG00000203970	3414
DEFB112	ENSG00000180872	3415
DEFB113	ENSG00000214642	3416
DEFB114	ENSG00000177684	3417
DEFB115	ENSG00000215547	3418
DEFB116	ENSG00000215545	3419
DEFB118	ENSG00000131068	3420
DEFB119	ENSG00000180483	3421
DEFB121	ENSG00000204548	3422
DEFB123	ENSG00000180424	3423
DEFB124	ENSG00000180383	3424
DEFB125	ENSG00000178591	3425
DEFB126	ENSG00000125788	3426
DEFB127	ENSG00000088782	3427
DEFB128	ENSG00000185982	3428
DEFB129	ENSG00000125903	3429
DEFB132	ENSG00000186458	3430
DEFB136	ENSG00000205884	3431
DEGS1	ENSG00000143753	3432
DEGS2	ENSG00000168350	3433
DEK	ENSG00000124795	3434
DENND1A	ENSG00000119522	3435
DENND1B	ENSG00000213047	3436
DENND1C	ENSG00000205744	3437
DENND2A	ENSG00000146966	3438
DENND2C	ENSG00000175984	3439
DENND2D	ENSG00000162777	3440
DENND3	ENSG00000105339	3441
DENND4A	ENSG00000174485	3442
DENND4B	ENSG00000198837	3443
DENND4C	ENSG00000137145	3444
DENND5A	ENSG00000184014	3445
DENND5B	ENSG00000170456	3446
DENND6A	ENSG00000174839	3447
DENND6B	ENSG00000205593	3448
DENR	ENSG00000139726	3449
DEPDC1	ENSG00000024526	3450
DEPDC1B	ENSG00000035499	3451
DEPDC4	ENSG00000166153	3452
DEPDC5	ENSG00000100150	3453
DEPTOR	ENSG00000155792	3454
DERA	ENSG00000023697	3455
DERL1	ENSG00000136986	3456
DERL2	ENSG00000072849	3457
DERL3	ENSG00000099958	3458
DES	ENSG00000175084	3459
DESI1	ENSG00000100418	3460
DESI2	ENSG00000121644	3461
DET1	ENSG00000140543	3462
DEXI	ENSG00000182108	3463
DFFA	ENSG00000160049	3464
DFFB	ENSG00000169598	3465
DGAT1	ENSG00000185000	3466
DGAT2L6	ENSG00000184210	3467
DGCR2	ENSG00000070413	3468
DGCR6L	ENSG00000128185	3469
DGCR8	ENSG00000128191	3470
DGKA	ENSG00000065357	3471
DGKB	ENSG00000136267	3472
DGKD	ENSG00000077044	3473
DGKE	ENSG00000153933	3474
DGKG	ENSG00000058866	3475
DGKH	ENSG00000102780	3476
DGKI	ENSG00000157680	3477
DGKQ	ENSG00000145214	3478
DGKZ	ENSG00000149091	3479
DGUOK	ENSG00000114956	3480
DHCR7	ENSG00000172893	3481
DHCR24	ENSG00000116133	3482
DHDDS	ENSG00000117682	3483
DHDH	ENSG00000104808	3484
DHH	ENSG00000139549	3485
DHPS	ENSG00000095059	3486
DHRS1	ENSG00000157379	3487
DHRS2	ENSG00000100867	3488
DHRS3	ENSG00000162496	3489
DHRS4	ENSG00000157326	3490
DHRS4L2	ENSG00000187630	3491
DHRS7	ENSG00000100612	3492
DHRS7B	ENSG00000109016	3493
DHRS7C	ENSG00000184544	3494
DHRS9	ENSG00000073737	3495
DHRS11	ENSG00000108272	3496
DHRS12	ENSG00000102796	3497
DHRS13	ENSG00000167536	3498
DHRSX	ENSG00000169084	3499
DHTKD1	ENSG00000181192	3500
DHX8	ENSG00000067596	3501
DHX9	ENSG00000135829	3502
DHX15	ENSG00000109606	3503
DHX16	ENSG00000204560	3504
DHX29	ENSG00000067248	3505
DHX30	ENSG00000132153	3506
DHX32	ENSG00000089876	3507
DHX33	ENSG00000005100	3508
DHX34	ENSG00000134815	3509
DHX35	ENSG00000101452	3510
DHX36	ENSG00000174953	3511
DHX37	ENSG00000150990	3512
DHX38	ENSG00000140829	3513
DHX40	ENSG00000108406	3514
DHX57	ENSG00000163214	3515
DHX58	ENSG00000108771	3516
DIABLO	ENSG00000184047	3517
DIAPH1	ENSG00000131504	3518
DIAPH2	ENSG00000147202	3519
DIAPH3	ENSG00000139734	3520
DICER1	ENSG00000100697	3521
DIDO1	ENSG00000101191	3522
DIMT1	ENSG00000086189	3523
DIO1	ENSG00000211452	3524
DIO2	ENSG00000211448	3525
DIO3	ENSG00000197406	3526
DIP2A	ENSG00000160305	3527
DIP2B	ENSG00000066084	3528
DIP2C	ENSG00000151240	3529
DIRAS1	ENSG00000176490	3530
DIRAS2	ENSG00000165023	3531
DIRAS3	ENSG00000162595	3532
DIRC2	ENSG00000138463	3533
DIS3	ENSG00000083520	3534
DIS3L	ENSG00000166938	3535
DIS3L2	ENSG00000144535	3536
DISP1	ENSG00000154309	3537
DISP2	ENSG00000140323	3538
DIXDC1	ENSG00000150764	3539
DKC1	ENSG00000130826	3540
DKK1	ENSG00000107984	3541
DKK3	ENSG00000050165	3542
DKKL1	ENSG00000104901	3543
DLAT	ENSG00000150768	3544
DLC1	ENSG00000164741	3545
DLD	ENSG00000091140	3546
DLEC1	ENSG00000008226	3547
DLEU7	ENSG00000186047	3548
DLG1	ENSG00000075711	3549
DLG2	ENSG00000150672	3550
DLG3	ENSG00000082458	3551
DLG4	ENSG00000132535	3552
DLG5	ENSG00000151208	3553
DLGAP1	ENSG00000170579	3554
DLGAP2	ENSG00000198010	3555
DLGAP3	ENSG00000116544	3556
DLGAP4	ENSG00000080845	3557
DLGAP5	ENSG00000126787	3558
DLK1	ENSG00000185559	3559
DLK2	ENSG00000171462	3560
DLL3	ENSG00000090932	3561
DLST	ENSG00000119689	3562
DLX2	ENSG00000115844	3563
DLX4	ENSG00000108813	3564
DMAP1	ENSG00000178028	3565
DMBT1	ENSG00000187908	3566
DMBX1	ENSG00000197587	3567
DMC1	ENSG00000100206	3568
DMD	ENSG00000198947	3569
DMKN	ENSG00000161249	3570
DMPK	ENSG00000104936	3571
DMRT1	ENSG00000137090	3572
DMRT3	ENSG00000064218	3573
DMTF1	ENSG00000135164	3574
DMTN	ENSG00000158856	3575
DMWD	ENSG00000185800	3576
DMXL2	ENSG00000104093	3577
DNA2	ENSG00000138346	3578
DNAAF1	ENSG00000154099	3579
DNAAF2	ENSG00000165506	3580
DNAAF3	ENSG00000167646	3581
DNAH1	ENSG00000114841	3582
DNAH2	ENSG00000183914	3583
DNAH3	ENSG00000158486	3584
DNAH5	ENSG00000039139	3585
DNAH6	ENSG00000115423	3586
DNAH7	ENSG00000118997	3587
DNAH8	ENSG00000124721	3588
DNAH9	ENSG00000007174	3589
DNAH10	ENSG00000197653	3590
DNAH10OS	ENSG00000250091	3591
DNAH11	ENSG00000105877	3592
DNAH12	ENSG00000174844	3593
DNAH14	ENSG00000185842	3594
DNAH17	ENSG00000187775	3595
DNAI1	ENSG00000122735	3596
DNAI2	ENSG00000171595	3597
DNAJA1	ENSG00000086061	3598
DNAJA2	ENSG00000069345	3599
DNAJA3	ENSG00000103423	3600
DNAJA4	ENSG00000140403	3601
DNAJB1	ENSG00000132002	3602
DNAJB2	ENSG00000135924	3603
DNAJB4	ENSG00000162616	3604
DNAJB5	ENSG00000137094	3605
DNAJB6	ENSG00000105993	3606
DNAJB7	ENSG00000172404	3607
DNAJB8	ENSG00000179407	3608
DNAJB9	ENSG00000128590	3609
DNAJB11	ENSG00000090520	3610
DNAJB12	ENSG00000148719	3611
DNAJB13	ENSG00000187726	3612
DNAJB14	ENSG00000164031	3613
DNAJC1	ENSG00000136770	3614
DNAJC2	ENSG00000105821	3615
DNAJC3	ENSG00000102580	3616
DNAJC4	ENSG00000110011	3617
DNAJC5	ENSG00000101152	3618
DNAJC5B	ENSG00000147570	3619
DNAJC5G	ENSG00000163793	3620
DNAJC6	ENSG00000116675	3621
DNAJC7	ENSG00000168259	3622
DNAJC8	ENSG00000126698	3623
DNAJC9	ENSG00000213551	3624
DNAJC10	ENSG00000077232	3625
DNAJC11	ENSG00000007923	3626
DNAJC12	ENSG00000108176	3627
DNAJC13	ENSG00000138246	3628
DNAJC14	ENSG00000135392	3629
DNAJC15	ENSG00000120675	3630
DNAJC16	ENSG00000116138	3631
DNAJC17	ENSG00000104129	3632
DNAJC18	ENSG00000170464	3633
DNAJC19	ENSG00000205981	3634
DNAJC21	ENSG00000168724	3635
DNAJC22	ENSG00000178401	3636
DNAJC24	ENSG00000170946	3637
DNAJC25	ENSG00000059769	3638
DNAJC27	ENSG00000115137	3639
DNAJC28	ENSG00000177692	3640
DNAJC30	ENSG00000176410	3641
DNAL1	ENSG00000119661	3642
DNAL4	ENSG00000100246	3643
DNALI1	ENSG00000163879	3644
DNASE1	ENSG00000213918	3645
DNASE1L1	ENSG00000013563	3646
DNASE1L2	ENSG00000167968	3647
DNASE1L3	ENSG00000163687	3648
DNASE2	ENSG00000105612	3649
DNASE2B	ENSG00000137976	3650
DND1	ENSG00000256453	3651
DNER	ENSG00000187957	3652
DNHD1	ENSG00000179532	3653
DNLZ	ENSG00000213221	3654
DNM1	ENSG00000106976	3655
DNM1L	ENSG00000087470	3656
DNM2	ENSG00000079805	3657
DNM3	ENSG00000197959	3658
DNMBP	ENSG00000107554	3659
DNMT1	ENSG00000130816	3660
DNMT3L	ENSG00000142182	3661
DNPEP	ENSG00000123992	3662
DNPH1	ENSG00000112667	3663
DNTT	ENSG00000107447	3664
DNTTIP1	ENSG00000101457	3665
DNTTIP2	ENSG00000067334	3666
DOC2B	ENSG00000272636	3667
DOCK1	ENSG00000150760	3668
DOCK2	ENSG00000134516	3669
DOCK3	ENSG00000088538	3670
DOCK4	ENSG00000128512	3671
DOCK5	ENSG00000147459	3672
DOCK6	ENSG00000130158	3673
DOCK7	ENSG00000116641	3674
DOCK8	ENSG00000107099	3675
DOCK9	ENSG00000088387	3676
DOCK10	ENSG00000135905	3677
DOCK11	ENSG00000147251	3678
DOHH	ENSG00000129932	3679
DOK1	ENSG00000115325	3680
DOK2	ENSG00000147443	3681
DOK3	ENSG00000146094	3682
DOK4	ENSG00000125170	3683
DOK5	ENSG00000101134	3684
DOK6	ENSG00000206052	3685
DOK7	ENSG00000175920	3686
DOLK	ENSG00000175283	3687
DOLPP1	ENSG00000167130	3688
DONSON	ENSG00000159147	3689
DOT1L	ENSG00000104885	3690
DPAGT1	ENSG00000172269	3691
DPCD	ENSG00000166171	3692
DPF1	ENSG00000011332	3693
DPF2	ENSG00000133884	3694
DPF3	ENSG00000205683	3695
DPH1	ENSG00000108963	3696
DPH2	ENSG00000132768	3697
DPH3	ENSG00000154813	3698
DPH5	ENSG00000117543	3699
DPH6	ENSG00000134146	3700
DPH7	ENSG00000148399	3701
DPM1	ENSG00000000419	3702
DPM2	ENSG00000136908	3703
DPM3	ENSG00000179085	3704
DPP4	ENSG00000197635	3705
DPP6	ENSG00000130226	3706
DPP7	ENSG00000176978	3707
DPP8	ENSG00000074603	3708
DPP10	ENSG00000175497	3709
DPPA2	ENSG00000163530	3710
DPPA3	ENSG00000187569	3711
DPPA4	ENSG00000121570	3712
DPPA5	ENSG00000203909	3713
DPY19L1	ENSG00000173852	3714
DPY19L2	ENSG00000177990	3715
DPY30	ENSG00000162961	3716
DPYD	ENSG00000188641	3717
DPYS	ENSG00000147647	3718
DPYSL2	ENSG00000092964	3719
DPYSL3	ENSG00000113657	3720
DPYSL4	ENSG00000151640	3721
DPYSL5	ENSG00000157851	3722
DQX1	ENSG00000144045	3723
DR1	ENSG00000117505	3724
DRAM1	ENSG00000136048	3725
DRAM2	ENSG00000156171	3726
DRAP1	ENSG00000175550	3727
DRAXIN	ENSG00000162490	3728
DRC1	ENSG00000157856	3729
DRD5	ENSG00000169676	3730
DRG1	ENSG00000185721	3731
DRGX	ENSG00000165606	3732
DROSHA	ENSG00000113360	3733
DSC1	ENSG00000134765	3734
DSC2	ENSG00000134755	3735
DSC3	ENSG00000134762	3736
DSCAM	ENSG00000171587	3737
DSCAML1	ENSG00000177103	3738
DSCC1	ENSG00000136982	3739
DSE	ENSG00000111817	3740
DSEL	ENSG00000171451	3741
DSG1	ENSG00000134760	3742
DSG2	ENSG00000046604	3743
DSG3	ENSG00000134757	3744
DSG4	ENSG00000175065	3745
DSN1	ENSG00000149636	3746
DSP	ENSG00000096696	3747
DSPP	ENSG00000152591	3748
DST	ENSG00000151914	3749
DSTN	ENSG00000125868	3750
DSTYK	ENSG00000133059	3751
DTD1	ENSG00000125821	3752
DTD2	ENSG00000129480	3753
DTHD1	ENSG00000197057	3754
DTL	ENSG00000143476	3755
DTNA	ENSG00000134769	3756
DTNBP1	ENSG00000047579	3757
DTWD1	ENSG00000104047	3758
DTWD2	ENSG00000169570	3759
DTX1	ENSG00000135144	3760
DTX2	ENSG00000091073	3761
DTX3	ENSG00000178498	3762
DTX3L	ENSG00000163840	3763
DTX4	ENSG00000110042	3764
DTYMK	ENSG00000168393	3765
DUOX1	ENSG00000137857	3766
DUOX2	ENSG00000140279	3767
DUOXA1	ENSG00000140254	3768
DUPD1	ENSG00000188716	3769
DUS1L	ENSG00000169718	3770
DUS2	ENSG00000167264	3771
DUS3L	ENSG00000141994	3772
DUS4L	ENSG00000105865	3773
DUSP1	ENSG00000120129	3774
DUSP2	ENSG00000158050	3775
DUSP3	ENSG00000108861	3776
DUSP4	ENSG00000120875	3777
DUSP5	ENSG00000138166	3778
DUSP6	ENSG00000139318	3779
DUSP7	ENSG00000164086	3780
DUSP8	ENSG00000184545	3781
DUSP9	ENSG00000130829	3782
DUSP10	ENSG00000143507	3783
DUSP11	ENSG00000144048	3784
DUSP12	ENSG00000081721	3785
DUSP13	ENSG00000079393	3786
DUSP14	ENSG00000161326	3787
DUSP15	ENSG00000149599	3788
DUSP16	ENSG00000111266	3789
DUSP18	ENSG00000167065	3790
DUSP19	ENSG00000162999	3791
DUSP22	ENSG00000112679	3792
DUSP23	ENSG00000158716	3793
DUSP26	ENSG00000133878	3794
DUSP28	ENSG00000188542	3795
DUT	ENSG00000128951	3796
DVL3	ENSG00000161202	3797
DXO	ENSG00000204348	3798
DYDC1	ENSG00000170788	3799
DYDC2	ENSG00000133665	3800
DYM	ENSG00000141627	3801
DYNAP	ENSG00000178690	3802
DYNC1H1	ENSG00000197102	3803
DYNC1I1	ENSG00000158560	3804
DYNC1I2	ENSG00000077380	3805
DYNC1LI1	ENSG00000144635	3806
DYNC1LI2	ENSG00000135720	3807
DYNC2H1	ENSG00000187240	3808
DYNC2LI1	ENSG00000138036	3809
DYNLL1	ENSG00000088986	3810
DYNLL2	ENSG00000264364	3811
DYNLRB1	ENSG00000125971	3812
DYNLRB2	ENSG00000168589	3813
DYNLT1	ENSG00000146425	3814
DYNLT3	ENSG00000165169	3815
DYRK1A	ENSG00000157540	3816
DYRK1B	ENSG00000105204	3817
DYRK3	ENSG00000143479	3818
DYSF	ENSG00000135636	3819
DZANK1	ENSG00000089091	3820
DZIP1	ENSG00000134874	3821
DZIP1L	ENSG00000158163	3822
DZIP3	ENSG00000198919	3823
E2F1	ENSG00000101412	3824
E2F2	ENSG00000007968	3825
E2F4	ENSG00000205250	3826
E2F6	ENSG00000169016	3827
E2F8	ENSG00000129173	3828
E4F1	ENSG00000167967	3829
EAF2	ENSG00000145088	3830
EAPP	ENSG00000129518	3831
EARS2	ENSG00000103356	3832
EBAG9	ENSG00000147654	3833
EBF1	ENSG00000164330	3834
EBF2	ENSG00000221818	3835
EBF3	ENSG00000108001	3836
EBF4	ENSG00000088881	3837
EBI3	ENSG00000105246	3838
EBNA1BP2	ENSG00000117395	3839
EBP	ENSG00000147155	3840
EBPL	ENSG00000123179	3841
ECD	ENSG00000122882	3842
ECE1	ENSG00000117298	3843
ECE2	ENSG00000145194	3844
ECEL1	ENSG00000171551	3845
ECH1	ENSG00000104823	3846
