Gene	Gene_ID	index
ACTL10	ENSG00000182584	189
ACTN4	ENSG00000130402	190
ACTR1A	ENSG00000138107	191
ACTR1B	ENSG00000115073	192
ACTR2	ENSG00000138071	193
ACTR3	ENSG00000115091	194
ACTR3B	ENSG00000133627	195
ACTR3C	ENSG00000106526	196
ACTR5	ENSG00000101442	197
ACTR6	ENSG00000075089	198
ACTR8	ENSG00000113812	199
ACTR10	ENSG00000131966	200
ACTRT1	ENSG00000123165	201
ACTRT2	ENSG00000169717	202
ACTRT3	ENSG00000184378	203
ACVR1	ENSG00000115170	204
ACVR1B	ENSG00000135503	205
ACVR1C	ENSG00000123612	206
ACVR2A	ENSG00000121989	207
ACVR2B	ENSG00000114739	208
ACVRL1	ENSG00000139567	209
ACY3	ENSG00000132744	210
ADAD1	ENSG00000164113	211
ADAD2	ENSG00000140955	212
ADAM2	ENSG00000104755	213
ADAM7	ENSG00000069206	214
ADAM8	ENSG00000151651	215
ADAM9	ENSG00000168615	216
ADAM10	ENSG00000137845	217
ADAM11	ENSG00000073670	218
ADAM12	ENSG00000148848	219
ADAM15	ENSG00000143537	220
ADAM17	ENSG00000151694	221
ADAM18	ENSG00000168619	222
ADAM19	ENSG00000135074	223
ADAM21	ENSG00000139985	224
ADAM22	ENSG00000008277	225
ADAM23	ENSG00000114948	226
ADAM28	ENSG00000042980	227
ADAM29	ENSG00000168594	228
ADAM30	ENSG00000134249	229
ADAM33	ENSG00000149451	230
ADAMDEC1	ENSG00000134028	231
ADAMTS1	ENSG00000154734	232
ADAMTS2	ENSG00000087116	233
ADAMTS3	ENSG00000156140	234
ADAMTS4	ENSG00000158859	235
ADAMTS5	ENSG00000154736	236
ADAMTS6	ENSG00000049192	237
ADAMTS7	ENSG00000136378	238
ADAMTS8	ENSG00000134917	239
ADAMTS9	ENSG00000163638	240
ADAMTS10	ENSG00000142303	241
ADAMTS13	ENSG00000160323	242
ADAMTS16	ENSG00000145536	243
ADAMTS17	ENSG00000140470	244
ADAMTS18	ENSG00000140873	245
ADAMTS20	ENSG00000173157	246
ADAMTSL1	ENSG00000178031	247
ADAMTSL2	ENSG00000197859	248
ADAMTSL3	ENSG00000156218	249
ADAMTSL4	ENSG00000143382	250
ADAMTSL5	ENSG00000185761	251
ADAP1	ENSG00000105963	252
ADAP2	ENSG00000184060	253
ADAR	ENSG00000160710	254
ADARB1	ENSG00000197381	255
ADARB2	ENSG00000185736	256
ADAT2	ENSG00000189007	257
ADAT3	ENSG00000213638	258
ADCK1	ENSG00000063761	259
ADCK2	ENSG00000133597	260
ADCK5	ENSG00000173137	261
ADCY1	ENSG00000164742	262
ADCY2	ENSG00000078295	263
ADCY3	ENSG00000138031	264
ADCY4	ENSG00000129467	265
ADCY5	ENSG00000173175	266
ADCY6	ENSG00000174233	267
ADCY7	ENSG00000121281	268
ADCY8	ENSG00000155897	269
ADCY9	ENSG00000162104	270
ADCY10	ENSG00000143199	271
ADCYAP1	ENSG00000141433	272
ADCYAP1R1	ENSG00000078549	273
ADD2	ENSG00000075340	274
ADD3	ENSG00000148700	275
ADGB	ENSG00000118492	276
ADH1A	ENSG00000187758	277
ADH1B	ENSG00000196616	278
ADH1C	ENSG00000248144	279
ADH4	ENSG00000198099	280
ADH5	ENSG00000197894	281
ADH6	ENSG00000172955	282
ADH7	ENSG00000196344	283
ADHFE1	ENSG00000147576	284
ADI1	ENSG00000182551	285
ADIG	ENSG00000182035	286
ADIPOQ	ENSG00000181092	287
ADIPOR1	ENSG00000159346	288
ADIPOR2	ENSG00000006831	289
ADIRF	ENSG00000148671	290
ADK	ENSG00000156110	291
ADM	ENSG00000148926	292
ADM2	ENSG00000128165	293
ADM5	ENSG00000224420	294
ADNP	ENSG00000101126	295
ADNP2	ENSG00000101544	296
ADO	ENSG00000181915	297
ADORA1	ENSG00000163485	298
ADORA2A	ENSG00000128271	299
ADORA3	ENSG00000121933	300
ADPGK	ENSG00000159322	301
ADPRH	ENSG00000144843	302
ADPRHL1	ENSG00000153531	303
ADPRHL2	ENSG00000116863	304
ADPRM	ENSG00000170222	305
ADRA1A	ENSG00000120907	306
ADRA1D	ENSG00000171873	307
ADRA2A	ENSG00000150594	308
ADRA2B	ENSG00000222040	309
ADRA2C	ENSG00000184160	310
ADRB1	ENSG00000043591	311
ADRB2	ENSG00000169252	312
ADRM1	ENSG00000130706	313
ADSSL1	ENSG00000185100	314
ADTRP	ENSG00000111863	315
AEBP1	ENSG00000106624	316
AEBP2	ENSG00000139154	317
AEN	ENSG00000181026	318
AES	ENSG00000104964	319
AFAP1	ENSG00000196526	320
AFAP1L1	ENSG00000157510	321
AFAP1L2	ENSG00000169129	322
AFF1	ENSG00000172493	323
AFF2	ENSG00000155966	324
AFF3	ENSG00000144218	325
AFF4	ENSG00000072364	326
AFG3L2	ENSG00000141385	327
AFM	ENSG00000079557	328
AFMID	ENSG00000183077	329
AFP	ENSG00000081051	330
AFTPH	ENSG00000119844	331
AGA	ENSG00000038002	332
AGAP1	ENSG00000157985	333
AGAP2	ENSG00000135439	334
AGAP3	ENSG00000133612	335
AGAP4	ENSG00000188234	336
AGAP5	ENSG00000172650	337
AGAP6	ENSG00000204149	338
AGAP9	ENSG00000198035	339
AGBL1	ENSG00000166748	340
AGBL2	ENSG00000165923	341
AGBL3	ENSG00000146856	342
AGBL4	ENSG00000186094	343
AGBL5	ENSG00000084693	344
AGER	ENSG00000204305	345
AGFG1	ENSG00000173744	346
AGFG2	ENSG00000106351	347
AGGF1	ENSG00000164252	348
AGK	ENSG00000006530	349
AGMAT	ENSG00000116771	350
AGMO	ENSG00000187546	351
AGO1	ENSG00000092847	352
AGO2	ENSG00000123908	353
AGO3	ENSG00000126070	354
AGO4	ENSG00000134698	355
AGPAT1	ENSG00000204310	356
AGPAT2	ENSG00000169692	357
AGPAT3	ENSG00000160216	358
AGPAT4	ENSG00000026652	359
AGPAT5	ENSG00000155189	360
AGPS	ENSG00000018510	361
AGR2	ENSG00000106541	362
AGR3	ENSG00000173467	363
AGRN	ENSG00000188157	364
AGRP	ENSG00000159723	365
AGT	ENSG00000135744	366
AGTPBP1	ENSG00000135049	367
AGTR1	ENSG00000144891	368
AGTR2	ENSG00000180772	369
AGTRAP	ENSG00000177674	370
AGXT	ENSG00000172482	371
AGXT2	ENSG00000113492	372
AHCTF1	ENSG00000153207	373
AHCY	ENSG00000101444	374
AHCYL1	ENSG00000168710	375
AHCYL2	ENSG00000158467	376
AHDC1	ENSG00000126705	377
AHI1	ENSG00000135541	378
AHNAK	ENSG00000124942	379
AHNAK2	ENSG00000185567	380
AHR	ENSG00000106546	381
AHRR	ENSG00000063438	382
AHSA1	ENSG00000100591	383
AHSG	ENSG00000145192	384
AHSP	ENSG00000169877	385
AICDA	ENSG00000111732	386
AIDA	ENSG00000186063	387
AIF1	ENSG00000204472	388
AIF1L	ENSG00000126878	389
AIFM1	ENSG00000156709	390
AIFM2	ENSG00000042286	391
AIFM3	ENSG00000183773	392
AIG1	ENSG00000146416	393
AIM2	ENSG00000163568	394
AIMP1	ENSG00000164022	395
AIMP2	ENSG00000106305	396
AIP	ENSG00000110711	397
AIPL1	ENSG00000129221	398
AIRE	ENSG00000160224	399
AJAP1	ENSG00000196581	400
AJUBA	ENSG00000129474	401
AK3	ENSG00000147853	402
AK4	ENSG00000162433	403
AK7	ENSG00000140057	404
AK8	ENSG00000165695	405
AK9	ENSG00000155085	406
AKAP1	ENSG00000121057	407
AKAP2	ENSG00000241978	408
AKAP3	ENSG00000111254	409
AKAP4	ENSG00000147081	410
AKAP5	ENSG00000179841	411
AKAP6	ENSG00000151320	412
AKAP7	ENSG00000118507	413
AKAP8	ENSG00000105127	414
AKAP8L	ENSG00000011243	415
AKAP9	ENSG00000127914	416
AKAP10	ENSG00000108599	417
AKAP11	ENSG00000023516	418
AKAP12	ENSG00000131016	419
AKAP13	ENSG00000170776	420
AKAP14	ENSG00000186471	421
AKAP17A	ENSG00000197976	422
AKIP1	ENSG00000166452	423
AKIRIN1	ENSG00000174574	424
AKIRIN2	ENSG00000135334	425
AKNA	ENSG00000106948	426
AKNAD1	ENSG00000162641	427
